iteration,prim_res,dual_res,duality_gap,restart
123,3.124e-04,1.334e-02,-2.809e-02,0
124,2.827e-04,1.357e-02,-2.943e-02,0
125,2.491e-04,1.382e-02,-3.068e-02,0
126,2.279e-04,1.405e-02,-3.188e-02,0
127,2.241e-04,1.425e-02,-3.299e-02,0
128,2.213e-04,1.452e-02,-3.405e-02,0
129,2.976e-04,1.492e-02,-3.517e-02,0
130,2.817e-04,1.501e-02,-3.609e-02,0
131,2.798e-04,1.495e-02,-3.650e-02,0
132,3.120e-04,1.484e-02,-3.661e-02,0
133,3.506e-04,1.474e-02,-3.667e-02,0
134,3.839e-04,1.465e-02,-3.682e-02,0
135,4.106e-04,1.457e-02,-3.713e-02,0
136,4.301e-04,1.448e-02,-3.757e-02,0
137,4.427e-04,1.438e-02,-3.810e-02,0
138,4.482e-04,1.427e-02,-3.867e-02,0
139,4.468e-04,1.415e-02,-3.927e-02,0
140,4.389e-04,1.402e-02,-3.988e-02,0
141,4.252e-04,1.388e-02,-4.053e-02,0
142,4.068e-04,1.374e-02,-4.122e-02,0
143,3.852e-04,1.319e-02,-4.161e-02,0
144,3.734e-04,1.281e-02,-4.233e-02,0
145,3.653e-04,1.249e-02,-4.330e-02,0
146,3.627e-04,1.216e-02,-4.446e-02,0
147,3.621e-04,1.182e-02,-4.574e-02,0
148,3.606e-04,1.148e-02,-4.706e-02,0
149,3.568e-04,1.116e-02,-4.840e-02,0
150,3.500e-04,1.086e-02,-4.972e-02,0
151,3.507e-04,1.060e-02,-5.099e-02,0
152,3.572e-04,1.038e-02,-5.220e-02,0
153,3.591e-04,1.020e-02,-5.333e-02,0
154,3.572e-04,1.005e-02,-5.435e-02,0
155,3.534e-04,9.944e-03,-5.527e-02,0
156,3.457e-04,9.865e-03,-5.608e-02,0
157,3.346e-04,9.811e-03,-5.676e-02,0
158,3.208e-04,9.776e-03,-5.733e-02,0
159,3.051e-04,9.755e-03,-5.777e-02,0
160,2.882e-04,9.744e-03,-5.810e-02,0
161,2.708e-04,9.738e-03,-5.832e-02,0
